start_ts,end_ts,duration,src_ip,src_port,dst_ip,dst_port,proto,app_proto,state,pkts_toserver,pkts_toclient,bytes_toserver,bytes_toclient,pkts_total,bytes_total,bpp_toserver,bpp_toclient,pps_toserver,pps_toclient,byte_ratio_ts_tc,pkt_ratio_ts_tc,src2dst_rate,dst2src_rate,is_tcp,is_udp,is_icmp,is_ipv6,zeek_uid,zeek_history
0.0,0.0,0.0,62991,0,1900,0,other,-,other,326,0,0,0,326,0,0.0,0.0,326000000000.0,0.0,0.0,326.0,0.0,0.0,0,0,0,0,192.168.100.29,1
0.0,24.0,24.0,37520,0,443,0,other,0.000412,other,128,132,0,0,260,0,0.0,0.0,5.333333333333333,5.5,0.0,0.9696969696969697,0.0,0.0,0,0,0,0,192.168.100.62,2
0.0,88.0,88.0,53052,0,80,0,other,0.260943,other,456,485,189,0,941,189,0.4144736842105263,0.0,5.181818181818182,5.511363636363637,189.0,0.9402061855670103,2.147727272727273,0.0,0,0,0,0,2a02:2f04:e104:3f00:2370:d47c:4774:d134,5
0.0,0.0,0.0,9487,0,9478,0,other,-,other,68,0,0,0,68,0,0.0,0.0,67999999999.99999,0.0,0.0,68.0,0.0,0.0,0,0,0,0,192.168.100.61,1
0.0,58.0,58.0,55909,0,53,0,other,0.008109,other,86,278,250,0,364,250,2.9069767441860463,0.0,1.4827586206896552,4.793103448275862,250.0,0.30935251798561153,4.310344827586207,0.0,0,0,0,0,192.168.100.62,1
0.0,58.0,58.0,38636,0,53,0,other,0.009848,other,86,422,394,0,508,394,4.5813953488372094,0.0,1.4827586206896552,7.275862068965517,394.0,0.2037914691943128,6.793103448275862,0.0,0,0,0,0,192.168.100.62,1
0.0,6993.0,6993.0,37048,0,443,0,other,0.207246,other,7377,7535,6767,0,14912,6767,0.9173105598481768,0.0,1.054912054912055,1.0775060775060774,6767.0,0.9790311877903118,0.9676819676819677,0.0,0,0,0,0,2a02:2f04:e104:3f00:2370:d47c:4774:d134,8
0.0,57.0,57.0,56965,0,53,0,other,0.010410,other,85,137,109,0,222,109,1.2823529411764707,0.0,1.4912280701754386,2.4035087719298245,109.0,0.6204379562043796,1.912280701754386,0.0,0,0,0,0,192.168.100.62,1
0.0,57.0,57.0,54306,0,53,0,other,0.015507,other,85,149,121,0,234,121,1.423529411764706,0.0,1.4912280701754386,2.6140350877192984,121.0,0.5704697986577181,2.1228070175438596,0.0,0,0,0,0,192.168.100.62,1
0.0,72.0,72.0,42177,0,53,0,other,0.017817,other,100,152,124,0,252,124,1.24,0.0,1.3888888888888888,2.111111111111111,124.0,0.6578947368421053,1.7222222222222223,0.0,0,0,0,0,192.168.100.62,1
0.0,72.0,72.0,44482,0,53,0,other,0.022254,other,100,164,136,0,264,136,1.36,0.0,1.3888888888888888,2.2777777777777777,136.0,0.6097560975609756,1.8888888888888888,0.0,0,0,0,0,192.168.100.62,1
0.0,54.0,54.0,60772,0,53,0,other,0.008270,other,82,98,70,0,180,70,0.8536585365853658,0.0,1.5185185185185186,1.8148148148148149,70.0,0.8367346938775511,1.2962962962962963,0.0,0,0,0,0,192.168.100.62,1
0.0,54.0,54.0,50274,0,53,0,other,0.008971,other,82,163,135,0,245,135,1.646341463414634,0.0,1.5185185185185186,3.0185185185185186,135.0,0.5030674846625767,2.5,0.0,0,0,0,0,192.168.100.62,1
0.0,102.0,102.0,54326,0,443,0,other,53.158865,other,462,255,39,0,717,39,0.08441558441558442,0.0,4.529411764705882,2.5,39.0,1.811764705882353,0.38235294117647056,0.0,0,0,0,0,2a02:2f04:e104:3f00:2370:d47c:4774:d134,5
0.0,0.0,0.0,134,0,133,0,other,-,other,72,0,0,0,72,0,0.0,0.0,72000000000.0,0.0,0.0,72.0,0.0,0.0,0,0,0,0,fe80::1b1f:1105:d401:a6a4,1
0.0,0.0,0.0,5353,0,5353,0,other,-,other,73,0,0,0,73,0,0.0,0.0,73000000000.0,0.0,0.0,73.0,0.0,0.0,0,0,0,0,192.168.100.62,1
0.0,135.0,135.0,5353,0,5353,0,other,0.000062,other,279,0,0,0,279,0,0.0,0.0,2.066666666666667,0.0,0.0,279.0,0.0,0.0,0,0,0,0,fe80::1a8f:c7a9:3ac2:12fa,3
0.0,54.0,54.0,33153,0,53,0,other,0.009086,other,82,159,131,0,241,131,1.5975609756097562,0.0,1.5185185185185186,2.9444444444444446,131.0,0.5157232704402516,2.425925925925926,0.0,0,0,0,0,192.168.100.62,1
0.0,54.0,54.0,39037,0,53,0,other,0.012132,other,82,147,119,0,229,119,1.451219512195122,0.0,1.5185185185185186,2.7222222222222223,119.0,0.5578231292517006,2.2037037037037037,0.0,0,0,0,0,192.168.100.62,1
0.0,54.0,54.0,53846,0,53,0,other,0.012596,other,82,205,177,0,287,177,2.158536585365854,0.0,1.5185185185185186,3.7962962962962963,177.0,0.4,3.2777777777777777,0.0,0,0,0,0,192.168.100.62,1
0.0,64.0,64.0,35597,0,53,0,other,0.003891,other,92,166,138,0,258,138,1.5,0.0,1.4375,2.59375,138.0,0.5542168674698795,2.15625,0.0,0,0,0,0,192.168.100.62,1
0.0,5937.0,5937.0,41620,0,443,0,other,0.129796,other,6189,6337,6029,0,12526,6029,0.9741476813701729,0.0,1.0424456796361798,1.067374094660603,6029.0,0.9766451002051444,1.0154960417719388,0.0,0,0,0,0,192.168.100.62,9
0.0,38.0,38.0,37485,0,53,0,other,0.013557,other,66,356,328,0,422,328,4.96969696969697,0.0,1.736842105263158,9.368421052631579,328.0,0.1853932584269663,8.631578947368421,0.0,0,0,0,0,192.168.100.62,1
0.0,38.0,38.0,52194,0,53,0,other,0.026129,other,66,332,304,0,398,304,4.606060606060606,0.0,1.736842105263158,8.736842105263158,304.0,0.19879518072289157,8.0,0.0,0,0,0,0,192.168.100.62,1
0.0,38.0,38.0,54169,0,53,0,other,0.026893,other,66,374,346,0,440,346,5.242424242424242,0.0,1.736842105263158,9.842105263157896,346.0,0.17647058823529413,9.105263157894736,0.0,0,0,0,0,192.168.100.62,1
0.0,50.0,50.0,45799,0,53,0,other,0.006879,other,78,152,124,0,230,124,1.5897435897435896,0.0,1.56,3.04,124.0,0.5131578947368421,2.48,0.0,0,0,0,0,192.168.100.62,1
0.0,50.0,50.0,46587,0,53,0,other,0.006819,other,78,152,124,0,230,124,1.5897435897435896,0.0,1.56,3.04,124.0,0.5131578947368421,2.48,0.0,0,0,0,0,192.168.100.62,1
0.0,52.0,52.0,48786,0,53,0,other,0.010973,other,80,152,124,0,232,124,1.55,0.0,1.5384615384615385,2.923076923076923,124.0,0.5263157894736842,2.3846153846153846,0.0,0,0,0,0,192.168.100.62,1
0.0,52.0,52.0,55072,0,53,0,other,0.027991,other,80,140,112,0,220,112,1.4,0.0,1.5384615384615385,2.6923076923076925,112.0,0.5714285714285714,2.1538461538461537,0.0,0,0,0,0,192.168.100.62,1
0.0,52.0,52.0,55902,0,53,0,other,0.028006,other,80,178,150,0,258,150,1.875,0.0,1.5384615384615385,3.423076923076923,150.0,0.449438202247191,2.8846153846153846,0.0,0,0,0,0,192.168.100.62,1
0.0,52.0,52.0,33001,0,53,0,other,0.034412,other,80,189,161,0,269,161,2.0125,0.0,1.5384615384615385,3.6346153846153846,161.0,0.42328042328042326,3.0961538461538463,0.0,0,0,0,0,192.168.100.62,1
0.0,52.0,52.0,49936,0,53,0,other,0.033411,other,80,177,149,0,257,149,1.8625,0.0,1.5384615384615385,3.4038461538461537,149.0,0.4519774011299435,2.8653846153846154,0.0,0,0,0,0,192.168.100.62,1
0.0,52.0,52.0,32971,0,53,0,other,0.040268,other,80,235,207,0,315,207,2.5875,0.0,1.5384615384615385,4.519230769230769,207.0,0.3404255319148936,3.980769230769231,0.0,0,0,0,0,192.168.100.62,1
0.0,64.0,64.0,52733,0,53,0,other,0.039168,other,92,166,138,0,258,138,1.5,0.0,1.4375,2.59375,138.0,0.5542168674698795,2.15625,0.0,0,0,0,0,192.168.100.62,1
0.0,59.0,59.0,37803,0,53,0,other,0.013537,other,87,161,133,0,248,133,1.528735632183908,0.0,1.4745762711864407,2.7288135593220337,133.0,0.5403726708074534,2.2542372881355934,0.0,0,0,0,0,192.168.100.62,1
