timestamp,flow_id,community_id,src_ip,src_port,dest_ip,dest_port,proto,app_proto,flow_start,flow_end,flow_age,flow_state,flow_reason,pkts_toserver,pkts_toclient,bytes_toserver,bytes_toclient,pkts_total,bytes_total,duration,bps,pps,bytes_ratio_ts_over_tc,pkts_ratio_ts_over_tc,avg_bytes_per_pkt_ts,avg_bytes_per_pkt_tc,is_tcp,is_udp,is_icmp
2025-10-18T03:56:34.599041+0200,967708519045404,,2a02:2f04:e104:3f00:2370:d47c:4774:d134,38700,2600:1f18:24e6:b902:a46c:a4a6:87fe:c14c,443,TCP,,2025-10-18T03:56:43.815136+0200,2025-10-18T03:56:48.037410+0200,5.0,new,shutdown,5,6,454,504,11,958,4.222274,226.891954,2.605231,0.900794,0.833333,90.8,84.0,1,0,0
2025-10-18T03:56:34.599041+0200,667266877300141,,192.168.100.62,41620,34.36.137.203,443,UDP,quic,2025-10-18T03:57:30.679648+0200,2025-10-18T03:57:30.809444+0200,0.0,established,shutdown,9,11,6315,6491,20,12806,0.129796,98662.516564,154.087953,0.972886,0.818182,701.666667,590.090909,0,1,0
2025-10-18T03:56:34.599041+0200,225005528686080,,192.168.100.62,50708,34.107.243.93,443,TCP,,2025-10-18T03:58:08.380068+0200,2025-10-18T03:58:08.485863+0200,0.0,new,shutdown,9,7,3314,1331,16,4645,0.105795,43905.666619,151.235881,2.489857,1.285714,368.222222,190.142857,1,0,0
2025-10-18T03:56:34.599041+0200,934369950900335,,2a02:2f04:e104:3f00:2370:d47c:4774:d134,44404,2600:1901:0001:05a5:0000:0000:0000:0000,443,TCP,,2025-10-18T03:58:19.676301+0200,2025-10-18T03:58:19.825115+0200,0.0,new,shutdown,7,5,2701,1268,12,3969,0.148814,26670.87774,80.637574,2.130126,1.4,385.857143,253.6,1,0,0
2025-10-18T03:56:34.599041+0200,39824966689482,,192.168.100.61,9487,255.255.255.255,9478,UDP,failed,2025-10-18T03:58:08.730168+0200,2025-10-18T03:58:08.730168+0200,0.0,new,shutdown,1,0,82,0,1,82,0.0,82000000000.0,1000000000.0,82.0,1.0,82.0,0.0,0,1,0
2025-10-18T03:56:34.599041+0200,172830136148847,,192.168.100.62,60772,192.168.100.1,53,UDP,dns,2025-10-18T03:58:08.367920+0200,2025-10-18T03:58:08.376190+0200,0.0,established,shutdown,1,1,96,112,2,208,0.00827,25151.14873,241.837969,0.857143,1.0,96.0,112.0,0,1,0
2025-10-18T03:56:34.599041+0200,1702878512358498,,192.168.100.58,33901,255.255.255.255,54321,UDP,failed,2025-10-18T03:57:02.199874+0200,2025-10-18T03:57:02.199874+0200,0.0,new,shutdown,1,0,74,0,1,74,0.0,74000000000.0,1000000000.0,74.0,1.0,74.0,0.0,0,1,0
2025-10-18T03:56:34.599041+0200,606701396305527,,192.168.100.62,47488,192.168.100.1,53,UDP,dns,2025-10-18T03:57:30.665546+0200,2025-10-18T03:57:30.676923+0200,0.0,established,shutdown,1,1,86,266,2,352,0.011377,30939.615013,175.793267,0.323308,1.0,86.0,266.0,0,1,0
2025-10-18T03:56:34.599041+0200,1477990442084585,,192.168.100.62,57621,192.168.100.255,57621,UDP,failed,2025-10-18T03:58:37.409657+0200,2025-10-18T03:58:37.409657+0200,0.0,new,shutdown,1,0,86,0,1,86,0.0,86000000000.0,1000000000.0,86.0,1.0,86.0,0.0,0,1,0
2025-10-18T03:56:34.599041+0200,2012893889965482,,192.168.100.62,44489,192.168.100.1,53,UDP,dns,2025-10-18T03:58:39.599735+0200,2025-10-18T03:58:39.607058+0200,0.0,established,shutdown,1,1,101,175,2,276,0.007323,37689.471528,273.112113,0.577143,1.0,101.0,175.0,0,1,0
2025-10-18T03:56:34.599041+0200,2034938352512667,,192.168.100.62,45799,192.168.100.1,53,UDP,dns,2025-10-18T03:58:23.015044+0200,2025-10-18T03:58:23.021923+0200,0.0,established,shutdown,1,1,92,166,2,258,0.006879,37505.451374,290.739933,0.554217,1.0,92.0,166.0,0,1,0
2025-10-18T03:56:34.599041+0200,1030314459672728,,192.168.100.87,49158,255.255.255.255,6667,UDP,failed,2025-10-18T03:56:35.895248+0200,2025-10-18T03:58:45.851791+0200,130.0,new,shutdown,27,0,6210,0,27,6210,129.956543,47.785205,0.207762,6210.0,27.0,230.0,0.0,0,1,0
2025-10-18T03:56:34.599041+0200,1617066135793946,,fe80:0000:0000:0000:1b1f:1105:d401:a6a4,0,ff02:0000:0000:0000:0000:0000:0000:0001,0,IPV6-ICMP,,2025-10-18T03:57:25.376502+0200,2025-10-18T03:57:25.376502+0200,0.0,new,shutdown,1,0,86,0,1,86,0.0,86000000000.0,1000000000.0,86.0,1.0,86.0,0.0,0,0,0
2025-10-18T03:56:34.599041+0200,2181047850383167,,192.168.100.62,32971,192.168.100.1,53,UDP,dns,2025-10-18T03:58:23.114598+0200,2025-10-18T03:58:23.154866+0200,0.0,established,shutdown,1,1,94,249,2,343,0.040268,8517.92987,49.66723,0.37751,1.0,94.0,249.0,0,1,0
2025-10-18T03:56:34.599041+0200,1709143520196819,,192.168.100.62,52194,192.168.100.1,53,UDP,dns,2025-10-18T03:58:22.987764+0200,2025-10-18T03:58:23.013893+0200,1.0,established,shutdown,1,1,80,346,2,426,0.026129,16303.723832,76.543304,0.231214,1.0,80.0,346.0,0,1,0
2025-10-18T03:56:34.599041+0200,1903829984295464,,192.168.100.62,54306,192.168.100.1,53,UDP,dns,2025-10-18T03:58:06.508805+0200,2025-10-18T03:58:06.524312+0200,0.0,established,shutdown,1,1,99,163,2,262,0.015507,16895.595537,128.974012,0.607362,1.0,99.0,163.0,0,1,0
2025-10-18T03:56:34.599041+0200,857497463897940,,192.168.100.46,49154,255.255.255.255,6667,UDP,failed,2025-10-18T03:56:35.199651+0200,2025-10-18T03:58:45.151662+0200,130.0,new,shutdown,27,0,6210,0,27,6210,129.952011,47.786871,0.207769,6210.0,27.0,230.0,0.0,0,1,0
