ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto
1760752686.508805,CAAxZP39egSvApHIO9,192.168.100.62,54306,192.168.100.1,53,udp,dns,0.015507,57.0,121.0,SF,T,T,0,Dd,1,85,1,149,-,17
1760752686.509251,CYcnYC2G8CyLRlYwZh,192.168.100.62,42177,192.168.100.1,53,udp,dns,0.017817,72.0,124.0,SF,T,T,0,Dd,1,100,1,152,-,17
1760752686.509333,CLANgq3zvqafRWaahk,192.168.100.62,44482,192.168.100.1,53,udp,dns,0.022254,72.0,136.0,SF,T,T,0,Dd,1,100,1,164,-,17
1760752688.36792,C87dOV2JUKh3TPwzkc,192.168.100.62,60772,192.168.100.1,53,udp,dns,0.00827,54.0,70.0,SF,T,T,0,Dd,1,82,1,98,-,17
1760752688.368168,ClqPEK3syfbJ654NJd,192.168.100.62,50274,192.168.100.1,53,udp,dns,0.008971,54.0,135.0,SF,T,T,0,Dd,1,82,1,163,-,17
1760752644.396681,C3feYKpYzk6R7AcSe,2a02:2f04:e104:3f00:2370:d47c:4774:d134,54326,2a06:98c1:3100::6812:202f,443,tcp,-,53.158865,102.0,39.0,SF,F,F,0,DdAFaf,5,462,3,255,-,6
1760752645.376502,CAft0W2pndL0PiERu6,fe80::1b1f:1105:d401:a6a4,134,ff02::1,133,icmp,-,0.0,0.0,0.0,OTH,T,F,0,-,1,72,0,0,-,58
1760752699.455427,CrCb9m2oHCPBI7YRek,192.168.100.62,5353,224.0.0.251,5353,udp,dns,0.0,0.0,0.0,S0,T,T,0,D,1,73,0,0,-,17
1760752699.455534,CuCf0oOE9QI1u9sZf,fe80::1a8f:c7a9:3ac2:12fa,5353,ff02::fb,5353,udp,dns,6.2e-05,135.0,0.0,S0,T,F,0,D,3,279,0,0,-,17
1760752699.623417,CIwcFdsEiCCGLoEt6,192.168.100.62,33153,192.168.100.1,53,udp,dns,0.009086,54.0,131.0,SF,T,T,0,Dd,1,82,1,159,-,17
1760752699.6236,CYzhKA37s36zqmnVR7,192.168.100.62,39037,192.168.100.1,53,udp,dns,0.012132,54.0,119.0,SF,T,T,0,Dd,1,82,1,147,-,17
1760752699.623715,CRmVyELJm9mvTi7fl,192.168.100.62,53846,192.168.100.1,53,udp,dns,0.012596,54.0,177.0,SF,T,T,0,Dd,1,82,1,205,-,17
1760752699.636659,Ct4SvX1GXWdWA91XY5,192.168.100.62,35597,192.168.100.1,53,udp,dns,0.003891,64.0,138.0,SF,T,T,0,Dd,1,92,1,166,-,17
1760752650.679648,CNoQHv3E3EczRhtNjc,192.168.100.62,41620,34.36.137.203,443,udp,"quic,ssl",0.129796,5937.0,6029.0,SF,T,F,0,Dd,9,6189,11,6337,-,17
1760752702.98768,CIuFHP1THMDEKpvEV,192.168.100.62,37485,192.168.100.1,53,udp,dns,0.013557,38.0,328.0,SF,T,T,0,Dd,1,66,1,356,-,17
1760752702.987764,CAStTqwHyFHFgOP88,192.168.100.62,52194,192.168.100.1,53,udp,dns,0.026129,38.0,304.0,SF,T,T,0,Dd,1,66,1,332,-,17
1760752702.987817,CSgnT24Hqc0O3TAaT3,192.168.100.62,54169,192.168.100.1,53,udp,dns,0.026893,38.0,346.0,SF,T,T,0,Dd,1,66,1,374,-,17
1760752703.015044,CErEwd4sQ3jhXit6Sg,192.168.100.62,45799,192.168.100.1,53,udp,dns,0.006879,50.0,124.0,SF,T,T,0,Dd,1,78,1,152,-,17
1760752703.095843,CuS71t3BClvoebKKJ6,192.168.100.62,46587,192.168.100.1,53,udp,dns,0.006819,50.0,124.0,SF,T,T,0,Dd,1,78,1,152,-,17
1760752703.114419,CqQY5m2RcDFGqmXgHc,192.168.100.62,48786,192.168.100.1,53,udp,dns,0.010973,52.0,124.0,SF,T,T,0,Dd,1,80,1,152,-,17
1760752703.114471,Ck4Tb31xKqRrvEQ8O1,192.168.100.62,55072,192.168.100.1,53,udp,dns,0.027991,52.0,112.0,SF,T,T,0,Dd,1,80,1,140,-,17
1760752703.114503,CatgPlt7hXSC543ml,192.168.100.62,55902,192.168.100.1,53,udp,dns,0.028006,52.0,150.0,SF,T,T,0,Dd,1,80,1,178,-,17
1760752703.114536,CG3j7O2nu69JtbpAT5,192.168.100.62,33001,192.168.100.1,53,udp,dns,0.034412,52.0,161.0,SF,T,T,0,Dd,1,80,1,189,-,17
1760752703.114568,C5BySe1RJpLZArxEB2,192.168.100.62,49936,192.168.100.1,53,udp,dns,0.033411,52.0,149.0,SF,T,T,0,Dd,1,80,1,177,-,17
1760752703.114598,C9WiXu24ajCcgSCKQl,192.168.100.62,32971,192.168.100.1,53,udp,dns,0.040268,52.0,207.0,SF,T,T,0,Dd,1,80,1,235,-,17
1760752703.116208,CCGkoykWnXlNuIJDg,192.168.100.62,52733,192.168.100.1,53,udp,dns,0.039168,64.0,138.0,SF,T,T,0,Dd,1,92,1,166,-,17
1760752703.142807,CJBj5F4ueckjZxHGHb,192.168.100.62,37803,192.168.100.1,53,udp,dns,0.013537,59.0,133.0,SF,T,T,0,Dd,1,87,1,161,-,17
1760752719.599459,CwHwgv32IQ4P9a5vLj,192.168.100.62,46052,192.168.100.1,53,udp,dns,0.007093,59.0,75.0,SF,T,T,0,Dd,1,87,1,103,-,17
1760752719.599735,ChwejHJ0IEgWPtayi,192.168.100.62,44489,192.168.100.1,53,udp,dns,0.007323,59.0,133.0,SF,T,T,0,Dd,1,87,1,161,-,17
1760752719.608788,CrYPMdap4rjYzHrn9,2a02:2f04:e104:3f00:2370:d47c:4774:d134,43783,2600:1901:1:7c5::,443,udp,"quic,ssl",0.076129,5156.0,4460.0,SF,F,F,0,Dd,7,5492,7,4796,-,17
1760752703.185962,C7VrTEvDpKMqCwfDc,2a02:2f04:e104:3f00:2370:d47c:4774:d134,46784,2600:1901:1:7c5::,443,tcp,ssl,0.117135,2121.0,830.0,S1,F,F,0,ShADad,7,2633,5,1198,-,6
1760752703.149623,C0s8e24HCZAoBZhlci,2a02:2f04:e104:3f00:2370:d47c:4774:d134,41656,2600:1901:1:7c5::,443,udp,"quic,ssl",13.419386,5851.0,8323.0,SF,F,F,0,Dd,18,6715,20,9283,-,17
1760752600.588748,C31MGs368iBkR5qzke,2a02:2f04:e104:3f00:2370:d47c:4774:d134,44924,2600:1901:1:194::,443,tcp,-,120.037669,140.0,122482.0,OTH,F,F,0,DadAt,122,8948,122,131588,-,6
1760752597.500796,C0fKDm4csPH6cpfPg8,2a02:2f04:e104:3f00:2370:d47c:4774:d134,50176,2a06:98c1:3107::6812:2715,443,tcp,-,120.027728,196.0,168.0,OTH,F,F,0,^dDa,7,700,14,1176,-,6
1760752624.995877,CWbzi4JizmqkOBlNi,192.168.100.62,58308,140.82.114.25,443,tcp,-,60.214512,58.0,50.0,OTH,T,F,0,^dDa,2,162,4,258,-,6
1760752629.415121,C6BvJ5pN5NztGeZQd,2a02:2f04:e104:3f00:2370:d47c:4774:d134,59310,2600:1901:1:7c5::,443,tcp,-,73.707845,1.0,0.0,SF,F,F,0,AaFf,4,288,3,216,-,6
1760752702.985948,CXarARWN4AyC4uYFj,2a02:2f04:e104:3f00:2370:d47c:4774:d134,42586,2a02:26f0:9c00::684c:dc33,443,tcp,ssl,13.357121,1253.0,213820.0,S1,F,F,0,ShADad,66,6013,171,226140,-,6
1760752703.020676,CZCg8Q2DtoUmOe1J8e,2a02:2f04:e104:3f00:2370:d47c:4774:d134,55472,2a02:26f0:9c00::684c:dc39,443,tcp,ssl,13.467361,2887.0,62345.0,S1,F,F,0,ShADadTt,34,5386,66,67984,-,6
1760752594.974871,CCyg2U2lk1rv06laE7,192.168.100.62,60216,192.168.100.61,8009,tcp,-,130.415015,2970.0,2970.0,OTH,T,T,0,DdA,54,5778,27,4374,-,6
1760752607.134114,CJ51le433PxYxNITe4,192.168.100.58,54326,255.255.255.255,54321,udp,-,90.015306,96.0,0.0,S0,T,T,0,D,3,180,0,0,-,17
1760752603.815136,CMDNDy4VkXRMhDzPkg,2a02:2f04:e104:3f00:2370:d47c:4774:d134,38700,2600:1f18:24e6:b902:a46c:a4a6:87fe:c14c,443,tcp,-,4.222274,25.0,24.0,SF,F,F,0,AadDFfrr,5,384,6,420,-,6
1760752625.319125,CtgKNv468l0WExbQ5g,2a02:2f04:e104:3f00:2370:d47c:4774:d134,58058,2600:1901:1:5a5::,443,tcp,-,74.372421,1.0,0.0,SF,F,F,0,AaFf,4,288,3,216,-,6
1760752595.088539,C0kkpKctWwevbk0C2,192.168.100.62,53006,192.168.100.60,8009,tcp,-,127.16978,2750.0,15285.0,OTH,T,T,0,DadAt,63,6038,64,20033,-,6
1760752595.588643,CWemPV3pIbsz0Q7RDd,192.168.100.62,36952,35.186.224.41,443,tcp,-,124.042098,215.0,200.0,OTH,T,F,0,DadA,10,735,10,720,-,6
1760752703.12243,C95VZe4cToq4WZSoKb,2a02:2f04:e104:3f00:2370:d47c:4774:d134,56737,2600:1901:1:5a5::,443,udp,"quic,ssl",18.600818,21961.0,5113.0,SF,F,F,0,Dd,31,23449,27,6409,-,17
1760752597.331427,CoCVFa2uzSYMm0cM49,192.168.100.62,57621,192.168.100.255,57621,udp,-,120.07823,220.0,0.0,S0,T,T,0,D,5,360,0,0,-,17
1760752703.156992,Cx5SeCi6xQiWBZK58,2a02:2f04:e104:3f00:2370:d47c:4774:d134,44585,2600:1901:1:7c5::,443,udp,"quic,ssl",13.562926,7056.0,12611.0,SF,F,F,0,Dd,22,8112,24,13763,-,17
1760752681.19376,Cbv8cb1EetDma11hej,192.168.100.60,9487,255.255.255.255,9478,udp,-,0.0,0.0,0.0,S0,T,T,0,D,1,68,0,0,-,17
1760752679.188558,CZcRz64LxBRtiJKYJf,192.168.100.29,63008,239.255.255.250,1900,udp,-,0.0,0.0,0.0,S0,T,T,0,D,1,326,0,0,-,17
1760752594.599041,C8zWAz4kqysKUryuw5,2a02:2f04:e104:3f00:2370:d47c:4774:d134,38684,2600:1f18:24e6:b902:a46c:a4a6:87fe:c14c,443,tcp,-,4.530728,25.0,24.0,SF,F,F,0,AadDFfrr,5,384,6,420,-,6
1760752683.212587,CObChH3INIKkDjtn2f,192.168.100.29,63016,239.255.255.250,1900,udp,-,0.0,0.0,0.0,S0,T,T,0,D,1,326,0,0,-,17
1760752598.201435,C8G6LFVubsHdcOJog,2a02:2f04:e104:3f00:2370:d47c:4774:d134,52370,2a06:98c1:3107::6812:2715,443,tcp,-,119.965642,196.0,168.0,OTH,F,F,0,^dDa,7,700,14,1176,-,6
1760752680.206559,CxQQAK1L1kS9H6Koj4,192.168.100.29,63012,239.255.255.250,1900,udp,-,0.0,0.0,0.0,S0,T,T,0,D,1,326,0,0,-,17
1760752633.51111,C9spRVubjxOvxz7g2,2a02:2f04:e104:3f00:2370:d47c:4774:d134,35094,2600:1901:1:7c5::,443,tcp,-,86.183785,783.0,133.0,OTH,F,F,0,AaDd,7,1286,7,637,-,6
