loss,val_loss
0.939855694770813,0.8140199184417725
0.6324761509895325,0.5026082992553711
0.35681411623954773,0.2820621132850647
0.2244127243757248,0.18356819450855255
0.15693742036819458,0.1309598833322525
0.1183353140950203,0.09826906770467758
0.09045800566673279,0.07447966933250427
0.0683646947145462,0.05459900200366974
0.05026373639702797,0.039849236607551575
0.03535367548465729,0.029935788363218307
0.026483764871954918,0.023540059104561806
0.021480143070220947,0.020374443382024765
0.01823941431939602,0.017906125634908676
0.015854349359869957,0.015699755400419235
0.01385429222136736,0.013853441923856735
0.01234333124011755,0.012589131481945515
0.01106534618884325,0.010513518005609512
0.009175218641757965,0.008407304994761944
0.007824087515473366,0.0076624867506325245
0.007056261878460646,0.006900085136294365
0.006483913864940405,0.006477658171206713
0.005974782630801201,0.0059043788351118565
0.005577606614679098,0.005565112456679344
0.005233036819845438,0.00528180506080389
0.004895606078207493,0.004885201342403889
0.004646524786949158,0.004680809564888477
0.004385124891996384,0.004364576190710068
0.0041656638495624065,0.004220257978886366
0.004006205592304468,0.004094342701137066
0.0038195443339645863,0.003860678756609559
0.003646127413958311,0.0037284428253769875
0.003472395706921816,0.003561790334060788
0.0033467726316303015,0.003414690028876066
0.003189515322446823,0.0031596366316080093
0.0030364245176315308,0.0031245865393429995
0.0028995561879128218,0.0027970962692052126
0.002774536143988371,0.0027167275547981262
0.002657548524439335,0.0025534520391374826
0.0025360556319355965,0.0023158718831837177
0.0023690422531217337,0.0022259296383708715
0.0022421262692660093,0.002131479559466243
0.002137657254934311,0.002005350776016712
0.002086053369566798,0.0020691638346761465
0.0020030206069350243,0.0019811925012618303
0.0019329329952597618,0.0017578031402081251
0.0018432284705340862,0.0017463323893025517
0.001791402231901884,0.0016603205585852265
0.0017220171866938472,0.0016374182887375355
0.0016540345968678594,0.001681464840658009
0.0016573345055803657,0.0015642944490537047
